id,name,applicability,country_id/id
mod_111_02,mod111[02],taxes,base.ad
mod_111_03,mod111[03],taxes,base.ad
mod_111_05,mod111[05],taxes,base.ad
mod_111_06,mod111[06],taxes,base.ad
mod_111_08,mod111[08],taxes,base.ad
mod_111_09,mod111[09],taxes,base.ad
mod_115_02,mod115[02],taxes,base.ad
mod_115_03,mod115[03],taxes,base.ad
mod_303_01,mod303[01],taxes,base.ad
mod_303_03,mod303[03],taxes,base.ad
mod_303_04,mod303[04],taxes,base.ad
mod_303_06,mod303[06],taxes,base.ad
mod_303_07,mod303[07],taxes,base.ad
mod_303_09,mod303[09],taxes,base.ad
mod_303_10,mod303[10],taxes,base.ad
mod_303_11,mod303[11],taxes,base.ad
mod_303_12,mod303[12],taxes,base.ad
mod_303_13,mod303[13],taxes,base.ad
mod_303_14_sale,mod303[14]sale,taxes,base.ad
mod_303_14_purchase,mod303[14]purchase,taxes,base.ad
mod_303_15,mod303[15]purchase,taxes,base.ad
mod_303_16,mod303[16],taxes,base.ad
mod_303_18,mod303[18],taxes,base.ad
mod_303_19,mod303[19],taxes,base.ad
mod_303_21,mod303[21],taxes,base.ad
mod_303_22,mod303[22],taxes,base.ad
mod_303_24,mod303[24],taxes,base.ad
mod_303_25,mod303[25],taxes,base.ad
mod_303_26,mod303[26],taxes,base.ad
mod_303_28,mod303[28],taxes,base.ad
mod_303_29,mod303[29],taxes,base.ad
mod_303_30,mod303[30],taxes,base.ad
mod_303_31,mod303[31],taxes,base.ad
mod_303_32,mod303[32],taxes,base.ad
mod_303_33,mod303[33],taxes,base.ad
mod_303_34,mod303[34],taxes,base.ad
mod_303_35,mod303[35],taxes,base.ad
mod_303_36,mod303[36],taxes,base.ad
mod_303_37,mod303[37],taxes,base.ad
mod_303_38,mod303[38],taxes,base.ad
mod_303_39,mod303[39],taxes,base.ad
mod_303_40,mod303[40],taxes,base.ad
mod_303_41,mod303[41],taxes,base.ad
mod_303_42,mod303[42],taxes,base.ad
mod_303_59,mod303[59],taxes,base.ad
mod_303_60,mod303[60],taxes,base.ad
mod_303_61,mod303[61],taxes,base.ad
