id,name,name@ca,code,account_type,reconcile,non_trade
account_common_101,Fons Social,Fons Social,101,equity,False,
account_common_102,Capital Social,Capital Social,102,equity,False,
account_common_108,Accions o participacions pròpies en situacions especials,Accions o participacions pròpies en situacions especials,108,equity,False,
account_common_109,Accions o participacions pròpies per reducció de capital,Accions o participacions pròpies per reducció de capital,109,equity,False,
account_common_110,Prima d’emissió,Prima d’emissió,110,equity,False,
account_common_112,Reserva legal,Reserva legal,112,equity,False,
account_common_113,Reserves Estatutàries,Reserves Estatutàries,113,equity,False,
account_common_114,Reserves Voluntàries,Reserves Voluntàries,114,equity,False,
account_common_118,Aportacions de socis o propietaris,Aportacions de socis o propietaris,118,equity,False,
account_common_119,Altres reserves,Altres reserves,119,equity,False,
account_common_131,Donacions i llegats de capital,Donacions i llegats de capital,131,equity,False,
account_common_141,Provisió per tributs,Provisió per tributs,141,liability_non_current,True,
account_common_143,"Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat","Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat",143,liability_non_current,True,
account_common_145,Provisió per actuacions mediambientals,Provisió per actuacions mediambientals,145,liability_non_current,True,
account_common_160,Deutes a llarg termini amb entitats de crèdit vinculades,Deutes a llarg termini amb entitats de crèdit vinculades,160,liability_non_current,False,
account_common_161,"Proveïdors d’immobilitzat a llarg termini, parts vinculades","Proveïdors d’immobilitzat a llarg termini, parts vinculades",161,liability_non_current,False,
account_common_162,"Creditors per arrendament financer a llarg termini, parts vinculades","Creditors per arrendament financer a llarg termini, parts vinculades",162,liability_non_current,False,
account_common_163,Altres deutes a llarg termini amb parts vinculades,Altres deutes a llarg termini amb parts vinculades,163,liability_non_current,False,
account_common_170,Deutes a llarg termini amb entitats de crèdit,Deutes a llarg termini amb entitats de crèdit,170,liability_non_current,False,
account_common_171,Deutes a llarg termini,Deutes a llarg termini,171,liability_non_current,False,
account_common_173,Proveïdors d’immobilitzat a llarg termini,Proveïdors d’immobilitzat a llarg termini,173,liability_non_current,False,
account_common_174,Creditors per arrendament financer a llarg termini,Creditors per arrendament financer a llarg termini,174,liability_non_current,False,
account_common_175,Efectes a pagar a llarg termini,Efectes a pagar a llarg termini,175,liability_non_current,False,
account_common_177,Obligacions i bons,Obligacions i bons,177,liability_non_current,False,
account_common_179,Deutes representats en altres valors negociables,Deutes representats en altres valors negociables,179,liability_non_current,False,
account_common_180,Fiances rebudes a llarg termini,Fiances rebudes a llarg termini,180,liability_non_current,False,
account_common_181,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,181,liability_non_current,False,
account_common_185,Dipòsits rebuts a llarg termini,Dipòsits rebuts a llarg termini,185,liability_non_current,False,
account_common_194,Capital emès pendent d’inscripció al Registre de Societats,Capital emès pendent d’inscripció al Registre de Societats,194,equity,False,
account_common_200,Despeses d’establiment,Despeses d’establiment,200,asset_fixed,False,
account_common_201,Investigació,Investigació,201,asset_fixed,False,
