id,code_prefix_start,name,name@ca
account_group_1,1,Finançament Bàsic,Finançament Bàsic
account_group_10,10,Capital,Capital
account_group_100,100,Capital social,Capital social
account_group_101,101,Fons social,Fons social
account_group_102,102,Capital,Capital
account_group_108,108,Accions o participacions pròpies en situacions especials,Accions o participacions pròpies en situacions especials
account_group_109,109,Accions o participacions pròpias per reducció de capital,Accions o participacions pròpias per reducció de capital
account_group_11,11,Reserves,Reserves
account_group_110,110,Prima d’emissió,Prima d’emissió
account_group_112,112,Reserva legal,Reserva legal
account_group_113,113,Reserves estatutàries,Reserves estatutàries
account_group_114,114,Reserves voluntaries,Reserves voluntaries
account_group_115,115,Reserves per accions pròpies,Reserves per accions pròpies
account_group_116,116,Reserva de revaloració,Reserva de revaloració
account_group_118,118,Aportacions de socis o propietaris,Aportacions de socis o propietaris
account_group_119,119,Altres reserves,Altres reserves
account_group_12,12,Resultats pendents d'aplicació,Resultats pendents d'aplicació
account_group_120,120,Romanent,Romanent
account_group_121,121,Resultats negatits d'exercicis anteriors,Resultats negatits d'exercicis anteriors
account_group_129,129,Resultat del exercici,Resultat del exercici
account_group_13,13,Subvencions i donacions,Subvencions i donacions
account_group_130,130,Subvencions oficials de capital,Subvencions oficials de capital
account_group_131,131,Donacions i llegats de capital,Donacions i llegats de capital
account_group_132,132,"Altres subvencions, donacions i llegats","Altres subvencions, donacions i llegats"
account_group_14,14,Provisions,Provisions
account_group_141,141,Provisió per tributs,Provisió per tributs
account_group_143,143,"Provisió per desmantelllament, retirament o rehabilitació de l'immobilitzat","Provisió per desmantelllament, retirament o rehabilitació de l'immobilitzat"
account_group_145,145,Provisió per actuacions medioambientals,Provisió per actuacions medioambientals
account_group_146,146,Provisión per altres responsabilitats,Provisión per altres responsabilitats
account_group_16,16,Deutes a llarg termini amb parts vinculades,Deutes a llarg termini amb parts vinculades
account_group_160,160,Deutes a llarg termini amb entitats de crèdit vinculades,Deutes a llarg termini amb entitats de crèdit vinculades
account_group_161,161,"Proveïdors d’immobilitzat a llarg termini, parts vinculades","Proveïdors d’immobilitzat a llarg termini, parts vinculades"
account_group_162,162,"Creditors per arrendament financer a llarg termini, parts vinculades","Creditors per arrendament financer a llarg termini, parts vinculades"
account_group_163,163,Altres deutes a llarg termini amb parts vinculades,Altres deutes a llarg termini amb parts vinculades
account_group_17,17,"Deutes a llarg termini per préstecs rebuts, emprèstits i altres conceptes","Deutes a llarg termini per préstecs rebuts, emprèstits i altres conceptes"
account_group_170,170,Deutes a llarg termini amb entitats de crèdit,Deutes a llarg termini amb entitats de crèdit
account_group_171,171,Deutes a llarg termini,Deutes a llarg termini
account_group_173,173,Proveïdors d’immobilitzat a llarg termini,Proveïdors d’immobilitzat a llarg termini
account_group_174,174,Creditors per arrendament financer a llarg termini,Creditors per arrendament financer a llarg termini
account_group_175,175,Efectes a pagar a llarg termini,Efectes a pagar a llarg termini
account_group_177,177,Obligaciones i bons,Obligaciones i bons
account_group_179,179,Deutes representats en altres valors negociables,Deutes representats en altres valors negociables
account_group_18,18,"Pasius per fiances, garanties i alters conceptes a llarg termini","Pasius per fiances, garanties i alters conceptes a llarg termini"
account_group_180,180,Fiances rebues a llarg termini,Fiances rebues a llarg termini
account_group_181,181,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,Bestretes rebudes per vendes o prestacions de serveis a llarg termini
account_group_185,185,Depòsits rebuts a llarg termini,Depòsits rebuts a llarg termini
account_group_189,189,Garantías financeres a llarg termini,Garantías financeres a llarg termini
account_group_19,19,Situacions transitòries de finançament,Situacions transitòries de finançament
